area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,price
4324.927745,3,2,3,yes,no,no,yes,no,1,19247.07748
4743.41649,4,2,4,yes,no,no,no,yes,2,23586.24007
3872.983346,3,1,4,yes,yes,no,no,yes,2,17293.3718
3872.983346,4,2,4,yes,no,no,no,yes,1,15733.36211
4046.603514,3,1,2,yes,no,yes,no,yes,0,14752.09775
3987.480407,3,2,4,yes,no,no,no,yes,0,12980.53398
4024.922359,3,2,4,yes,no,no,no,yes,2,17104.61505
3872.983346,4,2,4,yes,no,no,no,no,2,25888.32708
3872.983346,4,2,4,yes,no,no,no,yes,1,20161.18106
3872.983346,3,2,3,yes,no,no,no,yes,0,11243.5796
3872.983346,3,2,4,yes,no,no,no,yes,1,15144.58986
4062.019202,3,1,4,yes,no,no,no,yes,3,15028.96179
3278.719262,3,2,2,yes,no,yes,no,no,1,13372.46307
4312.771731,3,2,1,yes,yes,yes,no,yes,0,22898.95498
4312.771731,3,2,4,yes,no,no,no,no,1,19040.69293
3976.49343,3,1,4,yes,no,no,no,yes,1,12992.35235
3872.983346,4,2,4,yes,yes,no,no,yes,1,14698.37692
3588.175024,3,2,4,yes,no,no,no,yes,2,16550.11001
3872.983346,3,2,2,yes,yes,no,no,yes,1,13446.05651
3872.983346,3,1,2,yes,no,no,no,yes,1,13803.67884
5347.896783,4,1,2,yes,no,yes,no,no,1,32608.35251
4743.41649,4,2,4,yes,yes,no,no,yes,1,29900.6006
4381.78046,4,2,4,yes,yes,no,no,yes,1,27014.20527
3872.983346,3,2,4,yes,yes,no,no,yes,1,15066.85501
3872.983346,3,2,2,yes,yes,no,no,no,1,11953.75923
4711.687596,2,1,1,yes,no,no,no,yes,1,16318.20958
3949.683532,4,2,2,yes,no,no,no,yes,1,15165.15451
3987.480407,4,2,3,yes,no,no,no,yes,2,15347.99889
5285.593628,3,1,1,yes,no,yes,no,yes,1,20568.43184
4711.687596,3,2,2,yes,no,yes,no,yes,1,20646.36025
5744.562647,2,1,1,yes,no,yes,yes,no,1,23499.35433
4387.482194,3,2,1,yes,no,no,no,no,2,18620.272
3872.983346,3,1,1,yes,no,no,no,yes,1,7911.075307
5497.726803,4,2,2,yes,no,no,no,no,2,33140.75859
3162.27766,3,2,2,yes,no,yes,no,yes,0,9809.776696
3872.983346,4,2,4,yes,no,no,no,yes,0,15609.03195
3542.597917,3,1,4,yes,no,no,no,yes,0,11914.74872
4062.019202,2,2,4,yes,no,yes,no,no,0,17424.82681
3178.049716,3,1,2,yes,no,yes,yes,no,1,10369.40502
3263.433774,4,2,2,yes,no,no,yes,no,0,9850.719878
4006.245125,3,2,3,yes,no,no,no,yes,0,11567.24395
4031.128874,3,2,3,yes,no,no,no,yes,0,18879.37918
3774.917218,3,1,1,yes,yes,yes,no,yes,2,13651.56575
3872.983346,3,2,3,yes,yes,no,no,yes,0,14487.8612
3872.983346,3,1,2,yes,no,no,yes,no,1,8890.335559
3162.27766,3,2,2,yes,no,yes,no,yes,1,8672.794448
5123.475383,3,2,1,yes,no,yes,no,yes,1,23234.06664
3872.983346,3,2,4,yes,no,no,no,yes,0,15751.96584
3065.941943,3,1,2,yes,no,no,yes,no,2,8056.130875
4541.475531,3,2,3,yes,no,no,no,yes,0,20561.08574
4083.503398,3,1,3,yes,no,yes,no,no,0,16396.29331
3146.426545,3,1,1,yes,no,yes,no,no,2,6838.126091
4304.067843,3,1,1,yes,yes,yes,no,yes,2,14166.47656
4631.414471,5,3,2,yes,no,no,no,no,2,34715.61992
3535.533906,3,1,2,yes,no,no,no,yes,0,7218.282698
4107.919181,2,1,1,yes,yes,yes,no,no,2,11539.19106
3464.101615,3,2,4,yes,yes,no,no,yes,0,9591.977991
4242.640687,3,2,1,yes,no,yes,no,yes,3,13639.93641
3872.983346,4,2,4,yes,no,no,no,no,1,16075.397
3201.562119,3,2,3,yes,no,no,no,yes,2,11032.79909
4743.41649,3,1,1,yes,no,yes,no,no,1,22639.60347
4000,3,1,1,yes,yes,yes,no,yes,1,10434.26474
4062.019202,3,2,3,yes,no,no,no,yes,0,14668.73263
3872.983346,4,1,3,yes,yes,yes,no,no,0,11477.24818
4062.019202,3,2,1,yes,no,yes,no,yes,0,16178.91016
3708.099244,3,1,3,yes,no,no,no,no,1,11353.40464
3708.099244,3,2,4,yes,yes,no,no,yes,1,17841.28647
3984.344363,3,2,3,yes,yes,no,no,yes,0,14032.72823
3708.099244,3,2,1,yes,yes,yes,no,no,2,11743.99066
3354.101966,3,1,4,yes,no,no,no,yes,0,11264.75315
3691.205765,4,2,1,yes,no,yes,no,yes,0,11432.18883
4006.245125,3,1,3,yes,no,yes,no,no,0,16342.32774
2846.049894,4,1,3,yes,no,no,no,no,1,6478.489671
4066.632514,4,2,2,yes,yes,no,yes,no,1,13363.81256
4062.019202,3,1,1,yes,yes,yes,no,no,2,14609.2664
4574.931693,3,1,3,yes,no,no,no,yes,2,16173.90553
3278.719262,6,2,2,yes,no,no,no,no,0,10585.45092
4904.079934,3,1,1,yes,no,yes,no,no,2,19587.12267
4123.105626,2,1,1,yes,yes,yes,no,no,2,13814.31271
4472.135955,3,1,1,yes,yes,yes,no,yes,2,20876.77721
4153.311931,3,2,1,yes,yes,yes,no,no,0,13321.83751
3041.381265,4,1,2,yes,yes,no,no,yes,0,5850.966149
4006.245125,3,1,1,yes,no,yes,no,yes,0,12216.47075
4189.272013,3,1,1,yes,no,yes,no,yes,2,15573.1779
4043.513324,3,1,1,yes,yes,yes,no,no,2,8266.535904
4251.76434,3,1,2,yes,yes,yes,no,yes,0,11350.40057
3954.111784,4,2,1,yes,no,yes,no,no,1,16518.88405
4277.849927,4,2,2,yes,no,no,no,no,0,17358.54886
4038.873605,3,2,4,yes,no,no,no,no,1,18636.4892
6244.997998,3,1,1,yes,no,no,no,yes,2,25333.95583
4230.83916,3,1,1,yes,no,yes,no,no,2,17827.17351
4031.128874,3,2,3,yes,no,no,no,yes,0,15294.81008
3708.099244,3,1,3,yes,yes,no,no,yes,1,8783.704622
5352.569476,3,1,3,yes,no,no,no,no,2,24084.76849
3464.101615,3,1,1,yes,yes,yes,no,no,0,8361.020984
3817.066937,4,1,4,yes,yes,no,no,no,0,17127.80588
3605.551275,3,1,3,yes,no,no,no,yes,0,7733.093306
3464.101615,3,1,3,yes,no,no,no,yes,0,9325.928833
4183.300133,3,1,1,yes,no,yes,no,no,2,15173.55496
3872.983346,3,2,4,yes,no,no,no,yes,0,14411.59209
3674.234614,4,2,2,yes,no,no,no,yes,2,11738.13568
3405.877273,4,1,2,yes,no,no,no,no,1,8421.459091
3535.533906,3,1,3,yes,no,no,no,yes,0,8218.094924
3987.480407,3,1,1,yes,yes,yes,no,yes,2,14892.84327
3807.886553,3,2,4,yes,no,no,no,yes,0,21965.80094
4080.441153,4,2,2,yes,yes,yes,no,no,1,16847.91651
5123.475383,4,2,2,yes,no,no,no,no,1,17778.4791
3464.101615,5,2,3,no,no,yes,yes,no,0,14518.64053
3427.8273,4,1,2,yes,yes,yes,no,yes,1,8399.288614
3535.533906,3,1,4,yes,no,no,no,no,0,10177.58007
5123.475383,2,1,1,yes,no,no,no,no,1,15581.81065
3708.099244,3,2,2,yes,no,no,no,no,1,11478.60885
3987.480407,3,1,3,yes,no,no,no,no,0,11250.87692
4062.019202,4,2,1,yes,no,yes,no,no,0,14740.37162
3583.294573,3,1,2,yes,yes,yes,no,yes,0,6353.541658
3316.62479,4,1,2,yes,no,no,no,yes,2,9812.666303
3674.234614,5,1,2,yes,yes,yes,no,yes,0,12501.62571
2872.281323,3,3,2,yes,no,yes,no,no,0,11470.30951
3020.761493,3,2,2,yes,no,no,no,no,2,7630.576137
3905.124838,3,2,1,yes,no,yes,no,no,2,16949.32617
4153.311931,3,1,1,yes,yes,yes,no,no,0,11632.92356
2653.770902,4,2,2,no,yes,yes,no,no,1,7958.132777
4466.542287,3,1,1,yes,no,no,no,no,2,11213.83689
2806.24304,3,2,1,yes,yes,yes,no,yes,0,6590.657406
3940.177661,4,1,4,yes,yes,no,no,yes,0,12571.90092
3905.124838,3,1,3,yes,yes,no,no,yes,0,11725.6809
4062.019202,4,2,2,yes,yes,yes,no,no,0,27440.05657
4130.67791,3,1,1,yes,yes,yes,no,yes,0,12716.86324
4095.729483,3,2,2,yes,yes,yes,no,no,1,17825.68422
4015.594601,3,2,1,yes,yes,yes,yes,no,0,11097.75256
4415.880433,3,1,1,yes,no,yes,no,yes,2,13636.41601
3391.164992,2,2,1,yes,no,no,no,yes,2,12308.29987
3263.433774,4,1,2,yes,no,yes,no,yes,0,9274.663346
4043.513324,4,2,2,no,no,no,no,yes,0,12173.08839
3708.099244,3,2,1,yes,no,yes,no,no,0,11534.62854
5066.803726,3,1,1,yes,no,no,no,no,1,16936.82012
4582.575695,3,1,2,yes,yes,yes,no,yes,2,18886.41365
3640.054945,4,2,1,yes,no,no,no,yes,0,6990.398074
3082.207001,3,1,2,yes,yes,yes,no,no,1,6954.084161
4949.747468,4,2,2,yes,yes,no,no,no,2,19805.31792
4615.192304,3,1,1,yes,no,no,no,yes,2,13975.59147
3889.087297,3,1,1,yes,no,yes,no,no,0,9678.018689
4208.622102,3,1,1,yes,yes,yes,no,no,2,14520.48032
2819.574436,3,2,2,yes,no,no,no,no,2,7005.239958
3354.101966,4,2,1,no,no,yes,no,yes,2,9257.266151
4242.640687,3,1,2,yes,yes,yes,no,no,1,19414.13581
2919.760264,3,1,2,no,no,no,no,yes,0,5015.303013
4466.542287,3,1,1,yes,no,no,no,no,1,15813.97756
2738.612788,3,2,2,yes,yes,yes,no,no,0,6121.895326
2738.612788,3,1,2,yes,no,yes,no,no,0,7104.381392
5340.880077,2,1,2,yes,no,no,no,no,0,25202.7518
3905.124838,3,1,1,yes,no,yes,no,yes,0,14658.78443
3781.53408,2,1,2,yes,no,no,no,yes,0,11979.23317
2974.894956,2,1,1,no,yes,yes,no,no,0,6140.775239
4358.898944,4,1,2,yes,no,no,no,yes,2,18617.18068
5172.040216,3,1,2,yes,yes,yes,no,no,0,23428.87235
4062.019202,3,1,1,yes,yes,yes,no,no,0,11699.3889
3464.101615,2,1,1,yes,yes,yes,no,no,0,7278.789201
4513.867521,3,2,1,yes,yes,yes,no,no,0,13434.28291
3320.391543,4,3,2,yes,no,yes,no,no,2,14496.72154
4383.491759,3,1,1,yes,yes,yes,yes,no,0,14188.87615
2645.751311,3,2,2,no,no,yes,no,yes,1,5641.148693
3856.163897,3,1,2,yes,no,no,no,yes,0,9080.611218
3240.370349,3,1,2,yes,no,no,no,no,1,6813.674942
3361.547263,3,1,2,yes,no,yes,no,yes,0,9076.553319
3199.609351,3,1,2,no,yes,yes,no,yes,0,11017.24103
3209.361307,2,1,1,yes,no,yes,no,no,1,7882.694863
3674.234614,4,1,2,yes,no,no,no,no,0,12376.11613
3453.25933,3,1,1,yes,yes,yes,no,no,0,11016.20513
3968.626967,3,1,1,yes,no,no,no,yes,2,11484.68581
3807.886553,2,1,1,yes,yes,yes,no,yes,0,8935.15166
2738.612788,3,1,2,yes,no,yes,no,yes,0,5410.151227
2724.885319,3,1,3,yes,no,no,no,no,0,5238.543448
4098.780306,3,1,1,yes,no,no,no,no,0,9226.952487
3408.078638,3,1,2,yes,yes,yes,no,no,2,11743.01151
5678.908346,3,1,1,yes,no,no,no,no,2,23868.2352
2924.038303,4,2,2,yes,no,yes,no,yes,2,8312.254733
3533.765697,4,2,1,yes,no,yes,no,no,0,10243.66325
3297.72649,2,1,1,yes,no,yes,no,no,0,6876.07213
3224.903099,3,1,3,yes,no,no,no,no,0,10321.90304
3885.871846,3,1,1,yes,no,no,no,no,2,11068.53777
4141.859486,3,1,2,yes,no,no,no,yes,2,16841.17135
3469.510052,2,1,1,yes,no,no,no,yes,0,5577.965341
4183.300133,3,1,2,yes,no,yes,no,no,0,14671.62409
4500,4,1,4,yes,no,yes,no,yes,2,22607.43802
2924.038303,4,2,2,yes,no,no,no,no,0,6355.41281
4786.961458,2,1,1,yes,no,yes,no,yes,2,18036.93576
3975.235842,3,1,2,yes,no,yes,no,yes,1,13350.70722
5059.644256,2,1,1,yes,no,no,no,yes,2,18383.81299
4012.48053,2,1,1,yes,no,no,no,yes,3,12296.01363
3595.135602,3,1,4,yes,no,no,no,yes,0,11246.76566
3872.983346,2,1,1,yes,no,yes,no,yes,1,9238.336555
3012.474066,3,1,2,yes,no,no,no,no,2,7849.131836
4916.045158,4,2,2,yes,yes,yes,no,no,1,22462.63413
3674.234614,2,1,2,yes,no,no,no,no,0,8986.605124
3286.335345,3,1,1,yes,no,no,no,no,0,6510.123152
3059.820256,3,1,2,yes,no,yes,no,no,0,7703.193491
3224.903099,3,1,1,yes,yes,yes,no,yes,0,8088.885271
3114.4823,3,2,2,yes,no,yes,no,no,2,10428.56032
3768.288736,3,1,2,yes,yes,no,no,yes,1,11896.22214
2678.619047,2,1,2,yes,yes,yes,no,no,0,5361.88343
3539.067674,3,1,2,yes,no,yes,no,no,0,14759.17888
3357.826678,4,2,2,yes,no,yes,no,no,0,11625.57172
3162.27766,3,1,2,yes,no,no,no,no,1,6879.82056
3098.386677,3,1,2,yes,no,no,no,no,1,6970.786109
3065.941943,3,1,1,yes,no,no,no,no,2,4950.529193
3016.620626,3,1,2,yes,no,no,no,yes,0,7447.621257
2524.876235,3,1,2,yes,no,yes,no,no,0,5167.025873
3646.916506,3,1,2,yes,yes,yes,no,no,0,10364.0323
3660.601044,3,1,2,yes,no,no,no,no,2,13458.61284
2966.479395,3,1,1,yes,no,no,no,no,0,5034.658027
4582.575695,4,1,4,yes,no,no,no,no,3,22736.17165
3201.562119,2,2,1,yes,yes,yes,no,no,0,7080.095322
3531.996602,4,2,2,yes,yes,yes,no,no,0,12570.33921
2962.262649,3,1,3,yes,no,no,no,no,0,8022.148403
2936.835031,3,1,2,yes,no,yes,no,no,1,7252.13142
4964.876635,3,1,1,yes,no,no,no,no,0,13643.90601
2966.479395,2,1,2,yes,no,no,no,no,0,6317.295551
3357.826678,4,1,2,yes,no,no,no,yes,2,9806.85175
3835.687683,2,1,1,yes,no,no,no,yes,1,8597.645242
3162.27766,3,1,2,yes,no,no,no,no,2,7393.80323
4541.475531,3,1,1,yes,no,no,no,no,0,16465.60136
3178.049716,3,1,2,yes,no,no,no,no,1,6667.119611
3987.480407,2,1,1,yes,no,yes,no,yes,1,11048.50885
2811.583184,3,1,2,yes,no,no,no,yes,1,5239.871143
2962.262649,3,1,2,yes,no,no,no,no,0,5310.842235
3061.862178,2,1,1,yes,yes,yes,no,no,0,6831.937594
3149.60315,3,1,2,no,no,no,no,no,0,8243.984506
3500,2,1,2,yes,no,yes,no,no,0,9695.352796
2683.281573,3,1,2,yes,no,no,no,no,0,3979.842086
3492.849839,3,1,1,yes,no,no,no,no,2,7512.339307
3507.135583,3,1,2,yes,no,no,no,no,1,8413.147436
3517.81182,4,1,2,yes,no,no,no,yes,0,10789.88414
3122.498999,3,1,2,yes,no,no,no,no,0,5735.772354
3354.101966,3,2,3,yes,no,no,yes,no,1,12735.5949
2182.315284,5,1,2,no,no,yes,no,no,0,4056.07202
3191.786334,3,1,1,yes,yes,yes,no,no,2,8027.532668
2958.039892,4,1,2,yes,no,no,no,no,2,7694.184096
4015.594601,4,1,2,yes,no,no,no,no,0,14780.7963
3174.901573,2,1,1,yes,no,yes,no,no,0,7370.738151
3316.62479,2,1,1,yes,no,no,no,no,1,9325.960157
5089.20426,2,1,1,yes,no,no,no,no,1,13869.10096
2915.475947,3,1,2,yes,no,yes,no,no,2,8513.136073
3987.480407,2,1,1,yes,no,no,no,no,0,9099.562976
3987.480407,2,1,2,yes,no,no,no,no,0,9961.216465
3354.101966,2,1,1,yes,no,no,no,yes,2,6087.300074
2331.844763,3,1,2,no,yes,yes,no,yes,0,4469.474301
3301.514804,4,1,2,yes,no,no,no,no,0,6977.11143
4407.380174,2,1,1,yes,no,no,no,no,1,12263.55256
4077.376608,3,1,2,yes,yes,no,no,no,0,13832.3795
2639.602243,3,1,1,yes,no,yes,no,no,0,4615.232107
3708.099244,3,1,2,yes,no,no,no,yes,0,6983.535242
3549.64787,3,1,2,yes,no,yes,no,yes,0,9941.959768
3824.264635,2,1,1,yes,yes,yes,no,no,2,11781.85619
2554.407955,4,3,2,no,no,no,no,no,0,5954.293513
2717.075634,3,1,2,yes,no,yes,no,yes,0,6359.524218
2620.591536,4,2,2,no,no,no,no,no,0,5732.770568
3320.391543,2,1,1,no,no,no,no,no,1,6589.614916
3162.27766,4,2,2,no,no,no,no,no,0,8186.339129
2410.91269,3,1,2,no,no,no,no,no,0,4176.918463
3391.164992,3,2,2,yes,no,no,no,yes,1,10248.31509
3016.620626,3,2,2,yes,no,yes,no,no,0,10228.32751
3807.886553,3,1,1,yes,no,no,yes,no,2,11687.0352
4183.300133,3,1,1,yes,no,no,no,no,3,15039.8771
3193.35247,3,1,3,yes,no,no,no,no,0,9123.486334
2966.479395,3,1,2,yes,no,no,no,no,0,5567.449369
2315.707235,3,1,3,yes,no,no,no,no,1,4364.283885
3354.101966,3,1,1,yes,no,yes,no,no,0,7725.298384
4541.475531,3,1,1,yes,no,yes,no,no,3,15906.15033
2936.835031,3,1,2,yes,no,no,no,no,1,5902.226791
3478.505426,3,1,2,yes,no,no,no,no,1,9887.506047
3193.743885,3,1,2,yes,no,no,no,no,2,9570.858302
3180.408779,3,1,2,yes,no,yes,no,no,1,9031.98404
3402.939905,4,1,2,yes,no,no,no,yes,0,8471.80226
3868.139087,3,1,1,yes,no,yes,no,no,0,10247.43699
3892.300091,2,1,1,yes,no,yes,no,no,1,11579.94129
3000,3,1,1,yes,no,yes,no,yes,0,6119.146164
3033.150178,3,2,2,yes,no,no,no,no,0,7248.727773
3178.049716,2,1,2,yes,no,no,no,no,1,6120.43572
3741.657387,2,1,1,yes,no,no,no,yes,0,6637.275338
3840.572874,4,2,2,no,no,yes,no,no,1,19709.45099
3532.704347,3,2,2,yes,no,no,no,no,2,8858.195343
3293.933818,3,1,1,yes,no,no,no,no,0,7670.144938
2738.612788,4,1,3,yes,no,yes,no,yes,2,6327.466187
3286.335345,3,1,2,yes,no,no,no,no,2,8225.729926
3012.474066,3,2,2,yes,no,no,yes,no,2,6932.26888
2941.088234,3,2,1,yes,no,yes,no,yes,1,6635.679688
3674.234614,3,1,1,yes,no,no,no,no,3,10380.924
3354.101966,3,1,2,no,no,yes,no,yes,0,8082.370205
2941.088234,4,1,2,yes,no,no,no,yes,0,6309.341154
3201.562119,4,1,1,no,no,yes,no,no,0,6941.992499
4024.922359,3,1,2,no,no,no,no,yes,1,11146.06053
3354.101966,3,2,2,no,no,yes,no,yes,0,8478.297638
3146.426545,3,1,2,yes,no,no,no,no,0,6858.877706
3181.980515,2,1,2,yes,yes,yes,no,no,0,9471.793661
4260.281681,3,2,1,yes,yes,yes,no,no,3,19923.67194
3708.099244,4,1,2,yes,yes,yes,no,no,0,10997.32896
2738.612788,3,1,2,yes,no,no,no,no,0,6029.086421
2867.92608,2,1,1,yes,no,no,yes,no,1,5036.48974
3088.689042,2,1,1,yes,no,yes,no,yes,2,7291.7376
4494.441011,3,1,1,yes,no,no,no,yes,2,16031.34823
2315.707235,4,2,1,yes,no,yes,no,no,0,4671.124375
3074.08523,2,1,2,yes,yes,yes,no,no,0,9071.134721
2819.574436,4,2,2,yes,no,no,no,no,0,6727.86539
3640.054945,5,2,2,yes,no,no,no,no,0,10444.0815
2819.574436,2,2,1,yes,no,yes,no,no,2,6583.102809
4228.474902,3,1,2,yes,no,no,no,yes,0,13694.93708
3193.743885,2,1,1,yes,no,no,no,no,0,5471.348913
3102.418411,2,1,1,yes,no,no,no,no,0,5200.597729
2244.437569,3,1,2,yes,no,yes,no,no,0,3943.566983
2332.380758,2,1,2,yes,yes,no,no,no,0,3311.550238
2893.959226,3,1,2,yes,no,no,no,no,0,5932.770346
2806.24304,2,2,1,no,no,yes,no,no,0,6970.524469
3471.310992,3,1,2,yes,no,no,no,no,0,8882.115297
2924.038303,2,1,2,yes,no,no,yes,no,1,6624.644344
3000,2,1,1,yes,no,no,no,no,0,5067.104529
3817.721834,2,1,1,yes,no,no,no,no,2,7743.698904
2672.077843,3,1,3,yes,no,no,no,no,0,6270.740523
4582.575695,2,1,1,yes,no,no,no,no,1,13960.26844
4541.475531,3,1,1,yes,no,no,no,no,2,12373.75048
2509.98008,5,2,1,no,no,yes,no,yes,1,4798.853594
4162.331078,4,1,2,no,no,no,no,no,1,17693.94589
2949.576241,2,1,1,yes,no,no,no,no,0,4914.251077
3000,3,1,1,yes,no,no,no,no,1,5658.484388
3178.049716,2,1,1,yes,no,no,no,no,0,5443.50493
3879.432948,3,1,1,yes,no,no,no,no,0,8737.005333
3181.980515,2,1,1,yes,no,no,no,no,0,4723.971941
2993.325909,2,1,1,yes,no,no,yes,no,0,5288.892057
2792.848009,3,1,2,no,no,yes,yes,no,0,5685.610917
3691.205765,2,1,1,yes,no,no,no,no,0,8505.168825
3012.474066,2,1,1,yes,no,yes,no,no,0,5963.350132
3012.474066,2,1,1,yes,no,no,no,yes,0,5634.496145
3754.996671,2,1,1,no,no,no,no,no,0,8967.38479
3000,2,1,1,yes,no,no,no,no,0,4973.408709
3271.085447,2,1,1,yes,no,no,no,yes,2,6543.419861
2987.473849,3,1,2,yes,no,yes,no,no,0,6081.568366
2819.574436,3,1,2,no,no,yes,no,no,0,6803.929354
2738.612788,2,1,2,yes,no,no,no,yes,0,5658.293304
2966.479395,2,2,1,yes,no,yes,no,no,0,7132.720456
3860.051813,3,1,2,yes,yes,yes,no,no,0,13442.76513
3213.253803,3,2,2,yes,no,no,no,no,2,8219.360383
2669.269563,3,2,2,no,no,yes,no,no,0,5637.426341
2384.848004,3,1,3,yes,no,no,yes,yes,0,5101.0228
2966.479395,3,1,1,yes,no,no,no,no,2,6251.907873
3354.101966,2,1,1,yes,no,no,no,no,0,6099.541325
3162.27766,2,1,1,yes,no,no,no,no,0,5068.912117
2806.24304,3,1,2,yes,no,yes,no,no,0,6195.040163
3354.101966,4,2,2,yes,no,yes,no,no,2,13322.19982
3354.101966,2,1,1,no,no,no,no,no,0,7033.823865
3016.620626,2,1,1,yes,no,no,no,no,0,5005.619279
3102.418411,3,1,1,yes,no,no,no,no,2,5438.526991
3255.764119,3,1,2,yes,no,no,no,yes,0,6982.365455
3020.761493,3,1,2,yes,no,no,no,no,0,7779.04405
3391.164992,4,1,2,yes,no,no,no,no,0,6577.853704
2310.30301,3,2,2,no,no,no,no,no,0,5877.570875
2754.995463,3,1,2,yes,no,yes,no,no,0,4938.719601
3158.322339,3,1,2,yes,no,no,no,no,0,5946.539378
4308.131846,3,1,1,no,no,no,no,no,0,10685.99502
2949.576241,3,1,1,no,no,no,no,yes,0,4756.584907
3000,6,1,2,yes,no,no,no,no,1,6009.284477
3016.620626,2,1,1,yes,no,no,no,no,1,5705.871567
3840.572874,2,1,1,yes,no,no,no,no,1,13553.77216
2792.848009,3,1,2,yes,no,no,no,no,1,6830.537166
4286.60705,2,1,1,yes,no,no,no,no,1,13026.23561
2963.106478,2,1,1,yes,no,no,no,no,1,4277.008483
4873.397172,3,1,2,yes,no,no,no,no,3,22467.16168
3834.057903,2,1,1,yes,no,no,no,no,0,9129.535893
5688.585061,3,1,1,yes,no,no,no,no,0,21714.35389
3500,3,1,2,no,no,no,no,no,0,10181.00212
2765.863337,3,1,1,yes,no,no,no,no,0,4878.270506
3646.916506,2,1,1,yes,no,no,no,no,1,6702.741399
2315.707235,3,1,3,yes,no,no,no,no,0,3799.884402
3162.27766,2,1,1,yes,no,no,no,no,0,5612.623955
2821.790212,2,1,1,yes,no,no,no,no,2,5641.747827
3102.418411,3,1,1,yes,no,no,no,no,0,6024.625241
2315.707235,3,1,3,yes,no,no,no,no,0,2798.259234
2554.407955,3,1,2,yes,no,yes,no,no,0,2971.415859
2207.940217,3,2,2,yes,no,yes,no,no,0,4511.901756
3178.049716,2,1,1,yes,no,no,no,no,0,4635.525224
3458.684721,3,1,2,yes,yes,yes,no,yes,1,9938.20467
2936.835031,3,1,1,yes,no,yes,no,no,2,7016.31144
3016.620626,2,1,1,yes,no,no,no,no,0,6129.510274
2958.039892,4,1,2,yes,no,no,no,yes,2,5799.264624
3521.363372,4,1,3,no,no,no,no,no,0,11854.46325
3209.361307,2,1,2,yes,no,no,no,no,0,6140.86141
3446.012188,2,1,1,yes,no,no,no,no,0,6326.980108
3049.590136,2,1,1,no,no,no,no,yes,0,5348.796828
3061.862178,3,1,1,yes,no,no,no,no,0,5720.67429
2783.882181,3,1,2,no,no,yes,no,no,0,6095.116851
2821.790212,2,1,1,yes,no,yes,no,no,2,6862.493674
2598.076211,3,1,1,no,no,no,no,no,0,4551.712935
2315.707235,3,1,2,yes,no,yes,no,no,0,4663.997157
3178.049716,2,1,1,yes,no,no,no,no,1,5496.84406
3455.06874,4,1,2,yes,no,no,no,no,0,10259.65688
2500,2,1,1,no,no,no,no,yes,0,3336.208124
2819.574436,4,1,2,yes,no,yes,no,yes,0,8080.737275
3892.300091,3,1,1,yes,yes,yes,no,no,0,12242.50034
2949.576241,4,1,2,no,no,no,no,no,1,6455.760322
3078.960864,4,1,2,yes,no,no,no,no,0,5800.242672
3178.049716,2,1,1,yes,no,no,no,no,0,5828.711549
2315.707235,3,1,2,yes,no,yes,no,no,0,4579.145947
3834.057903,3,1,1,yes,no,no,no,no,1,9768.89583
3354.101966,2,1,1,no,no,no,no,no,0,6584.01147
3134.485604,2,1,1,no,no,no,no,no,0,6513.440112
3016.620626,4,1,2,yes,no,yes,no,no,0,8187.148624
